metric,label,unit,n_lgas,min,mean,std,mean_plus_minus_std,median,p10,p90,max,range,coefficient_of_variation,p90_to_median_ratio,max_to_mean_ratio,max_to_median_ratio,top10_share_of_total
pw_people_without_access,Piped water burden,million people,767,2.452392102003643e-05,0.16461656250161957,0.0897280584538171,0.165 ± 0.090,0.14702066650603082,0.0804612631359471,0.26848745447022276,1.1866367803587403,1.1866122564377204,0.5450730904002099,1.8261885274422243,7.208489609586311,8.07122432892837,0.21109632422283603
sw_people_without_access,Sewage burden,million people,767,2.279519464607464e-05,0.19981143936711926,0.10682812790312157,0.200 ± 0.107,0.1805977632111556,0.09448636972114781,0.3267876597539036,1.5773858495244057,1.5773630543297597,0.5346447042345919,1.809477891328157,7.894372086606261,8.73424909299746,0.2087350027860653
pw_no_access_prob,Piped water severity,probability,767,0.25404531796943663,0.6454353102491075,0.1288848948540759,0.645 ± 0.129,0.6672564859163331,0.45932677312049763,0.7954028708470806,0.9040858631244053,0.6500405451549687,0.19968677388340036,1.192049665511705,1.4007381510866999,1.3549300489493752,0.1285998528144038
sw_no_access_prob,Sewage severity,probability,767,0.11018957345971547,0.7848818000679942,0.15488238985272054,0.785 ± 0.155,0.8006749214933668,0.5658269406945905,0.9520760386080886,0.9832592251505838,0.8730696516908684,0.197332120376983,1.1890918686854064,1.252748152735105,1.2280379948914506,0.12317690926316216
population,LGA population,million people,767,3.267872e-05,0.2652674732350639,0.17551086561147505,0.265 ± 0.176,0.22736318306600004,0.1248854278576,0.4215875420798,2.5889850100969998,2.588952331377,0.6616373408734814,1.8542471845910937,9.759903762504644,11.38700195512946,0.23448410406790665
