model,scheme,task,fold,k,n_train,n_test,auroc
dinov2,random,sw,3,100,149281,37420,0.9237094416369831
dinov2,random,sw,3,200,149281,37420,0.9261510220942546
dinov2,random,sw,4,5,149460,37241,0.8792810366954316
dinov2,random,sw,4,10,149460,37241,0.8958749008777531
dinov2,random,sw,4,20,149460,37241,0.9088153821234524
dinov2,random,sw,4,50,149460,37241,0.9178332082968564
dinov2,random,sw,4,100,149460,37241,0.919982644550159
dinov2,random,sw,4,200,149460,37241,0.9215722842336861
dinov2,region,sw,Eastern,5,129286,57415,0.7702377110827896
dinov2,region,sw,Eastern,10,129286,57415,0.7957058841754009
dinov2,region,sw,Eastern,20,129286,57415,0.8099691025949811
dinov2,region,sw,Eastern,50,129286,57415,0.8221280199235123
dinov2,region,sw,Eastern,100,129286,57415,0.8287695414432594
dinov2,region,sw,Eastern,200,129286,57415,0.8345482693299899
dinov2,region,sw,Middle,5,178625,8076,0.6354464440401941
dinov2,region,sw,Middle,10,178625,8076,0.655686410569223
dinov2,region,sw,Middle,20,178625,8076,0.6716539255601756
dinov2,region,sw,Middle,50,178625,8076,0.686380979838011
dinov2,region,sw,Middle,100,178625,8076,0.6974545910092784
dinov2,region,sw,Middle,200,178625,8076,0.7078581736784861
dinov2,region,sw,Northern,5,170974,15727,0.688460646320212
dinov2,region,sw,Northern,10,170974,15727,0.7070608698725334
dinov2,region,sw,Northern,20,170974,15727,0.7249257147167201
dinov2,region,sw,Northern,50,170974,15727,0.7493297589146348
dinov2,region,sw,Northern,100,170974,15727,0.7654775175657798
dinov2,region,sw,Northern,200,170974,15727,0.7783225482131982
dinov2,region,sw,Southern,5,152396,34305,0.7718854023749887
dinov2,region,sw,Southern,10,152396,34305,0.797386544401354
dinov2,region,sw,Southern,20,152396,34305,0.8166243133814978
dinov2,region,sw,Southern,50,152396,34305,0.834587706371624
dinov2,region,sw,Southern,100,152396,34305,0.8421747728641287
dinov2,region,sw,Southern,200,152396,34305,0.8456569337796885
dinov2,region,sw,Western,5,115523,71178,0.7141451022604994
dinov2,region,sw,Western,10,115523,71178,0.7333561314189659
dinov2,region,sw,Western,20,115523,71178,0.7463256526312478
dinov2,region,sw,Western,50,115523,71178,0.7587109363523068
dinov2,region,sw,Western,100,115523,71178,0.7643589517094945
dinov2,region,sw,Western,200,115523,71178,0.7671143389699648
